EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE
NSE,C,2,NA,INDEX,0,NIFTY,NIFTY,,INDEX,NA,1.0,1979-12-31,-0.01000,XX,0.2500,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,5,NA,INDEX,0,NIFTYFUTM1,NIFTYFUTM1,,INDEX,NA,1.0,1979-12-31,-0.01000,XX,0.2500,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,10126,NA,FUTCUR,1,USDINR,USDINR-Mar2025-FUT,USDINR MAR FUT,FUT,NA,1.0,2025-03-27,-0.01000,XX,0.2500,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,10123,NA,FUTCUR,26,GBPINR,GBPINR-Mar2025-FUT,GBPINR MAR FUT,FUT,NA,1.0,2025-03-27,-0.01000,XX,0.2500,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,10002,NA,OPTCUR,1,USDINR,USDINR-Aug2024-88.75-PE,USDINR 30 AUG 88.75 PUT,CUR OP,NA,1.0,2024-08-30,88.75000,PE,0.2500,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,C,10049,NA,OPTCUR,25,EURINR,EURINR-Aug2024-83.5-CE,EURINR 23 AUG 83.50 CALL,CUR OP,NA,1.0,2024-08-23,83.50000,CE,0.2500,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,D,35001,NA,FUTIDX,26000,NIFTY,NIFTY-Mar2025-FUT,NIFTY MAR FUT,FUT,NA,75.0,2025-03-27,-0.01000,XX,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,D,35012,NA,FUTIDX,26009,BANKNIFTY,BANKNIFTY-Jan2025-FUT,BANKNIFTY JAN FUT,FUT,NA,15.0,2025-01-30,-0.01000,XX,5.0000,M,Y,Y,N,NA,A,5.00,5.00,80.00,80.00,0.10,0.10,5.00,5.00,80.00,80.00,0.10,0.10,99.99,99.99,0.10,0.10,0,
NSE,D,41289,NA,FUTSTK,2885,RELIANCE,RELIANCE-Feb2025-FUT,RELIANCE FEB FUT,FUT,NA,500.0,2025-02-27,-0.01000,XX,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,D,38724,NA,FUTSTK,1333,HDFCBANK,HDFCBANK-Feb2025-FUT,HDFCBANK FEB FUT,FUT,NA,550.0,2025-02-27,-0.01000,XX,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,D,35024,NA,OPTIDX,26000,NIFTY,NIFTY-Feb2025-29200-CE,NIFTY 27 FEB 29200 CALL,OP,NA,75.0,2025-02-27,29200.00000,CE,5.0000,M,Y,Y,N,NA,A,5.00,5.00,80.00,80.00,0.25,0.25,5.00,5.00,80.00,80.00,2.00,2.00,99.99,99.99,1.00,1.00,0,
NSE,D,35009,NA,OPTIDX,26009,BANKNIFTY,BANKNIFTY-Jan2025-60900-CE,BANKNIFTY 30 JAN 60900 CALL,OP,NA,15.0,2025-01-30,60900.00000,CE,5.0000,M,Y,Y,N,NA,A,5.00,5.00,80.00,80.00,0.25,0.25,5.00,5.00,80.00,80.00,2.00,2.00,99.99,99.99,1.00,1.00,0,
NSE,D,128143,NA,OPTSTK,2885,RELIANCE,RELIANCE-Jan2025-700-CE,RELIANCE 30 JAN 700 CALL,OP,NA,500.0,2025-01-30,700.00000,CE,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,D,113013,NA,OPTSTK,1333,HDFCBANK,HDFCBANK-Jan2025-960-CE,HDFCBANK 30 JAN 960 CALL,OP,NA,550.0,2025-01-30,960.00000,CE,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,E,2885,INE002A01018,EQUITY,,RELIANCE,RELIANCE INDUSTRIES LTD,Reliance Industries,ES,EQ,1.0,,,,5.0000,NA,Y,Y,N,NA,A,20.00,20.00,16.00,16.00,0.25,0.25,20.00,20.00,16.00,16.00,0.25,0.25,99.99,99.99,0.25,0.25,3.773585,
NSE,E,1333,INE040A01034,EQUITY,,HDFCBANK,HDFC BANK LTD,HDFC Bank,ES,EQ,1.0,,,,5.0000,NA,Y,Y,N,NA,A,20.00,20.00,16.00,16.00,0.25,0.25,20.00,20.00,16.00,16.00,0.25,0.25,99.99,99.99,0.25,0.25,3.773585,
NSE,I,13,1,INDEX,null,NIFTY,NIFTY,Nifty 50,INDEX,X,1.0,,7.00000,,1.0000,NA,Y,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NSE,I,25,2,INDEX,null,BANKNIFTY,BANKNIFTY,Nifty Bank,INDEX,X,1.0,,7.00000,,1.0000,NA,Y,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,C,1026077,NA,FUTCUR,600,USDINR,USDINR,USDINR AUG FUT,FUTCUR,NA,1.0,2024-08-28,-0.01000,XX,0.2500,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,C,1026078,NA,FUTCUR,601,GBPINR,GBPINR,GBPINR AUG FUT,FUTCUR,NA,1.0,2024-08-28,-0.01000,XX,0.2500,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,C,1048641,NA,OPTCUR,600,USDINR,USDINR,USDINR 26 SEP 83.2 CALL,OPTCUR,NA,1.0,2024-09-26,83.20000,CE,0.2500,Q,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,C,1075397,NA,OPTCUR,602,EURINR,EURINR,EURINR 01 NOV 92 CALL,OPTCUR,NA,1.0,2024-11-01,92.00000,CE,0.2500,W,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,D,1164591,NA,FUTIDX,1,SENSEX,BSXFUT,SENSEX JAN  FUT,FUTIDX,NA,10.0,2025-01-28,0.00000,,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,D,1166106,NA,FUTIDX,47,SENSEX50,SX50FUT,SENSEX50 JAN  FUT,FUTIDX,NA,25.0,2025-01-28,0.00000,,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,D,1169563,NA,FUTSTK,500325,RELIANCE,RELIFUT,RELIANCE FEB  FUT,FUTSTK,NA,500.0,2025-02-13,0.00000,,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,D,1174850,NA,FUTSTK,500180,HDFCBANK,HDBKFUT,HDFCBANK FEB  FUT,FUTSTK,NA,550.0,2025-02-13,0.00000,,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,D,1107216,NA,OPTIDX,1,SENSEX,BSXOPT,SENSEX 25 MAR 87000 PUT,OPTIDX,NA,20.0,2025-03-25,87000.00000,PE,5.0000,Q,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,D,1165787,NA,OPTIDX,47,SENSEX50,SX50OPT,SENSEX50 28 JAN 25700 PUT,OPTIDX,NA,25.0,2025-01-28,25700.00000,PE,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,D,1168508,NA,OPTSTK,500325,RELIANCE,RELIOPT,RELIANCE 13 FEB 1360 PUT,OPTSTK,NA,500.0,2025-02-13,1360.00000,PE,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,D,1168713,NA,OPTSTK,500180,HDFCBANK,HDBKOPT,HDFCBANK 13 FEB 1730 CALL,OPTSTK,NA,550.0,2025-02-13,1730.00000,CE,5.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,E,500325,INE002A01018,EQUITY,,RELIANCE,RELIANCE INDUSTRIES LTD.,Reliance Industries,ES,A,1.0,,,,5.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.773585,
BSE,E,500180,INE040A01034,EQUITY,,HDFCBANK,HDFC BANK LTD.,HDFC Bank,ES,A,1.0,,,,5.0000,NA,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.773585,
BSE,I,51,29,INDEX,0,SENSEX,SENSEX,Sensex,INDEX,X,1.0,,7.00000,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BSE,I,83,0,INDEX,0,SENSEX50,SNSX50,BSE Sensex 50,INDEX,X,1.0,,,,1.0000,NA,N,Y,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCX,M,428750,NA,FUTCOM,114,GOLD,GOLD,GOLD FEB FUT,FUTCOM,2,1.0,2025-02-05,0.00000,XX,100.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCX,M,429815,NA,FUTCOM,115,SILVER,SILVER,SILVER MAR FUT,FUTCOM,2,1.0,2025-03-05,0.00000,XX,100.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCX,M,440925,NA,FUTIDX,569,MCXMETLDEX,MCXMETLDEX,MCXMETLDEX JAN FUT,FUTIDX,2,1.0,2025-01-24,0.00000,XX,100.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCX,M,441162,NA,FUTIDX,568,MCXBULLDEX,MCXBULLDEX,MCXBULLDEX JAN FUT,FUTIDX,2,1.0,2025-01-27,0.00000,XX,100.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCX,M,428761,NA,OPTFUT,114,GOLD,GOLD,GOLD 27 JAN 62900 CALL,OPTFUT,2,1.0,2025-01-27,62900.00000,CE,50.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCX,M,429831,NA,OPTFUT,115,SILVER,SILVER,SILVER 24 FEB 78500 CALL,OPTFUT,2,1.0,2025-02-24,78500.00000,CE,50.0000,M,N,N,N,NA,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
